Potential Energy , -528.369 , Kinetic Energy , 257.742 , Total Energy , -270.628
Potential Energy , -528.741 , Kinetic Energy , 258.151 , Total Energy , -270.59
Potential Energy , -529.114 , Kinetic Energy , 258.561 , Total Energy , -270.553
Potential Energy , -529.49 , Kinetic Energy , 258.974 , Total Energy , -270.516
Potential Energy , -529.866 , Kinetic Energy , 259.388 , Total Energy , -270.478
Potential Energy , -530.245 , Kinetic Energy , 259.804 , Total Energy , -270.44
Potential Energy , -530.624 , Kinetic Energy , 260.222 , Total Energy , -270.402
Potential Energy , -531.006 , Kinetic Energy , 260.642 , Total Energy , -270.364
Potential Energy , -531.389 , Kinetic Energy , 261.063 , Total Energy , -270.326
Potential Energy , -531.773 , Kinetic Energy , 261.485 , Total Energy , -270.288
Potential Energy , -532.159 , Kinetic Energy , 261.909 , Total Energy , -270.249
Potential Energy , -532.546 , Kinetic Energy , 262.335 , Total Energy , -270.211
Potential Energy , -532.934 , Kinetic Energy , 262.762 , Total Energy , -270.172
Potential Energy , -533.324 , Kinetic Energy , 263.191 , Total Energy , -270.133
Potential Energy , -533.716 , Kinetic Energy , 263.621 , Total Energy , -270.094
Potential Energy , -534.108 , Kinetic Energy , 264.053 , Total Energy , -270.055
Potential Energy , -534.502 , Kinetic Energy , 264.486 , Total Energy , -270.016
Potential Energy , -534.897 , Kinetic Energy , 264.921 , Total Energy , -269.976
Potential Energy , -535.293 , Kinetic Energy , 265.357 , Total Energy , -269.936
Potential Energy , -535.69 , Kinetic Energy , 265.794 , Total Energy , -269.897
Potential Energy , -536.089 , Kinetic Energy , 266.232 , Total Energy , -269.857
Potential Energy , -536.489 , Kinetic Energy , 266.672 , Total Energy , -269.817
Potential Energy , -536.889 , Kinetic Energy , 267.113 , Total Energy , -269.776
Potential Energy , -537.291 , Kinetic Energy , 267.555 , Total Energy , -269.736
Potential Energy , -537.694 , Kinetic Energy , 267.998 , Total Energy , -269.695
Potential Energy , -538.098 , Kinetic Energy , 268.443 , Total Energy , -269.655
Potential Energy , -538.502 , Kinetic Energy , 268.888 , Total Energy , -269.614
Potential Energy , -538.908 , Kinetic Energy , 269.335 , Total Energy , -269.573
Potential Energy , -539.314 , Kinetic Energy , 269.783 , Total Energy , -269.532
Potential Energy , -539.721 , Kinetic Energy , 270.231 , Total Energy , -269.49
Potential Energy , -540.13 , Kinetic Energy , 270.681 , Total Energy , -269.449
Potential Energy , -540.538 , Kinetic Energy , 271.131 , Total Energy , -269.407
Potential Energy , -540.948 , Kinetic Energy , 271.583 , Total Energy , -269.365
Potential Energy , -541.358 , Kinetic Energy , 272.035 , Total Energy , -269.323
Potential Energy , -541.769 , Kinetic Energy , 272.488 , Total Energy , -269.281
Potential Energy , -542.181 , Kinetic Energy , 272.942 , Total Energy , -269.239
Potential Energy , -542.593 , Kinetic Energy , 273.397 , Total Energy , -269.196
Potential Energy , -543.005 , Kinetic Energy , 273.852 , Total Energy , -269.153
Potential Energy , -543.419 , Kinetic Energy , 274.308 , Total Energy , -269.111
Potential Energy , -543.832 , Kinetic Energy , 274.765 , Total Energy , -269.068
Potential Energy , -544.246 , Kinetic Energy , 275.222 , Total Energy , -269.024
Potential Energy , -544.66 , Kinetic Energy , 275.68 , Total Energy , -268.981
Potential Energy , -545.075 , Kinetic Energy , 276.138 , Total Energy , -268.937
