Potential Energy , -282.425 , Kinetic Energy , 141.208 , Total Energy , -141.217, Delta Energy , 2.57737e-09, Time , 62, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.395 , Kinetic Energy , 141.178 , Total Energy , -141.217, Delta Energy , 2.56395e-09, Time , 62.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.365 , Kinetic Energy , 141.148 , Total Energy , -141.217, Delta Energy , 2.55062e-09, Time , 63, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.334 , Kinetic Energy , 141.117 , Total Energy , -141.217, Delta Energy , 2.53723e-09, Time , 63.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.303 , Kinetic Energy , 141.086 , Total Energy , -141.217, Delta Energy , 2.52396e-09, Time , 64, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.271 , Kinetic Energy , 141.055 , Total Energy , -141.217, Delta Energy , 2.51103e-09, Time , 64.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.24 , Kinetic Energy , 141.023 , Total Energy , -141.217, Delta Energy , 2.49835e-09, Time , 65, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.207 , Kinetic Energy , 140.991 , Total Energy , -141.217, Delta Energy , 2.48599e-09, Time , 65.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.174 , Kinetic Energy , 140.958 , Total Energy , -141.217, Delta Energy , 2.4742e-09, Time , 66, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.141 , Kinetic Energy , 140.925 , Total Energy , -141.217, Delta Energy , 2.46294e-09, Time , 66.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.108 , Kinetic Energy , 140.891 , Total Energy , -141.217, Delta Energy , 2.45242e-09, Time , 67, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.073 , Kinetic Energy , 140.857 , Total Energy , -141.217, Delta Energy , 2.44282e-09, Time , 67.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.039 , Kinetic Energy , 140.822 , Total Energy , -141.217, Delta Energy , 2.43381e-09, Time , 68, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -282.003 , Kinetic Energy , 140.787 , Total Energy , -141.217, Delta Energy , 2.42605e-09, Time , 68.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.968 , Kinetic Energy , 140.751 , Total Energy , -141.217, Delta Energy , 2.41923e-09, Time , 69, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.931 , Kinetic Energy , 140.715 , Total Energy , -141.217, Delta Energy , 2.41354e-09, Time , 69.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.895 , Kinetic Energy , 140.678 , Total Energy , -141.217, Delta Energy , 2.40905e-09, Time , 70, Angular Momentum , 0.000000,0.000000,-95068.800000
