Potential Energy , -0.485191 , Kinetic Energy , 0.235412 , Total Energy , -0.249778, Delta Energy , -0.0002215, Time , 171
Potential Energy , -0.48669 , Kinetic Energy , 0.236891 , Total Energy , -0.249799, Delta Energy , -0.000200904, Time , 172
Potential Energy , -0.489561 , Kinetic Energy , 0.239721 , Total Energy , -0.24984, Delta Energy , -0.000160373, Time , 173
Potential Energy , -0.493174 , Kinetic Energy , 0.243282 , Total Energy , -0.249893, Delta Energy , -0.000107213, Time , 174
Potential Energy , -0.496679 , Kinetic Energy , 0.246732 , Total Energy , -0.249947, Delta Energy , -5.33054e-05, Time , 175
Potential Energy , -0.499179 , Kinetic Energy , 0.249192 , Total Energy , -0.249987, Delta Energy , -1.33821e-05, Time , 176
Potential Energy , -0.499994 , Kinetic Energy , 0.249994 , Total Energy , -0.25, Delta Energy , -9.27191e-08, Time , 177
Potential Energy , -0.498895 , Kinetic Energy , 0.248913 , Total Energy , -0.249982, Delta Energy , -1.79764e-05, Time , 178
Potential Energy , -0.49619 , Kinetic Energy , 0.246251 , Total Energy , -0.249939, Delta Energy , -6.09629e-05, Time , 179
Potential Energy , -0.49261 , Kinetic Energy , 0.242726 , Total Energy , -0.249884, Delta Energy , -0.000115676, Time , 180
Potential Energy , -0.489058 , Kinetic Energy , 0.239226 , Total Energy , -0.249832, Delta Energy , -0.000167576, Time , 181
Potential Energy , -0.486363 , Kinetic Energy , 0.236568 , Total Energy , -0.249795, Delta Energy , -0.000205436, Time , 182
Potential Energy , -0.485107 , Kinetic Energy , 0.235329 , Total Energy , -0.249777, Delta Energy , -0.00022264, Time , 183
Potential Energy , -0.485549 , Kinetic Energy , 0.235766 , Total Energy , -0.249783, Delta Energy , -0.000216614, Time , 184
Potential Energy , -0.4876 , Kinetic Energy , 0.237788 , Total Energy , -0.249812, Delta Energy , -0.000188228, Time , 185
Potential Energy , -0.490826 , Kinetic Energy , 0.240968 , Total Energy , -0.249858, Delta Energy , -0.000142029, Time , 186
Potential Energy , -0.494506 , Kinetic Energy , 0.244593 , Total Energy , -0.249913, Delta Energy , -8.70057e-05, Time , 187
Potential Energy , -0.497744 , Kinetic Energy , 0.247781 , Total Energy , -0.249964, Delta Energy , -3.64405e-05, Time , 188
Potential Energy , -0.499693 , Kinetic Energy , 0.249698 , Total Energy , -0.249995, Delta Energy , -5.02247e-06, Time , 189
Potential Energy , -0.499812 , Kinetic Energy , 0.249815 , Total Energy , -0.249997, Delta Energy , -3.07454e-06, Time , 190
Potential Energy , -0.498068 , Kinetic Energy , 0.2481 , Total Energy , -0.249969, Delta Energy , -3.12669e-05, Time , 191
Potential Energy , -0.494947 , Kinetic Energy , 0.245027 , Total Energy , -0.24992, Delta Energy , -8.02433e-05, Time , 192
Potential Energy , -0.491272 , Kinetic Energy , 0.241407 , Total Energy , -0.249864, Delta Energy , -0.000135505, Time , 193
Potential Energy , -0.487945 , Kinetic Energy , 0.238129 , Total Energy , -0.249817, Delta Energy , -0.000183369, Time , 194
Potential Energy , -0.48572 , Kinetic Energy , 0.235934 , Total Energy , -0.249786, Delta Energy , -0.000214274, Time , 195
Potential Energy , -0.485068 , Kinetic Energy , 0.235291 , Total Energy , -0.249777, Delta Energy , -0.000223166, Time , 196
Potential Energy , -0.486122 , Kinetic Energy , 0.236331 , Total Energy , -0.249791, Delta Energy , -0.000208753, Time , 197
Potential Energy , -0.488666 , Kinetic Energy , 0.238839 , Total Energy , -0.249827, Delta Energy , -0.000173167, Time , 198
Potential Energy , -0.492153 , Kinetic Energy , 0.242276 , Total Energy , -0.249878, Delta Energy , -0.000122481, Time , 199
